 Total Nb of available Diagnostics: ndiagt=   727
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND| 23 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 23 |       |SMR     MR|psu/day         |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 23 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 23 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 23 |       |SMR     MR|psu/s           |Salinity forcing tendency
   103 |AB_gT   | 23 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 23 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 23 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 23 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 23 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 23 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 23 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 23 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 23 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 23 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 23 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 23 |   118 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 23 |   117 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 23 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 23 |   121 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 23 |   120 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 23 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 23 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   124 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   125 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   126 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   127 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   128 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   129 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   130 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   131 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   132 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   133 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   134 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   135 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   136 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   137 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   138 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   139 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   140 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   141 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   142 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   143 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   144 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   145 |EXFsalfx|  1 |       |SM      U1|psu.kg/m^2/s    |upward salt flux, > 0 decreases salinity
   146 |KPPviscA| 23 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   147 |KPPdiffS| 23 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   148 |KPPdiffT| 23 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   149 |KPPghatK| 23 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   150 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   151 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   152 |KPPdbsfc| 23 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   153 |KPPbfsfc| 23 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   154 |KPPRi   | 23 |       |SM P    UR|non-dimensional |Bulk Richardson number
   155 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   156 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   157 |KPPdbloc| 23 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   158 |KPPnuddt| 23 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   159 |KPPnudds| 23 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   160 |KPPg_TH | 23 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   161 |KPPg_SLT| 23 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   162 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   163 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   164 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   165 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   166 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   167 |SubMpsiX|  1 |   168 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   168 |SubMpsiY|  1 |   167 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   169 |GM_Kux  | 23 |   170 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   170 |GM_Kvy  | 23 |   169 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   171 |GM_Kuz  | 23 |   172 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   172 |GM_Kvz  | 23 |   171 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   173 |GM_Kwx  | 23 |   174 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   174 |GM_Kwy  | 23 |   173 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   175 |GM_Kwz  | 23 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   176 |GM_PsiX | 23 |   177 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   177 |GM_PsiY | 23 |   176 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   178 |GM_KuzTz| 23 |   179 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   179 |GM_KvzTz| 23 |   178 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   180 |GM_KwzTz| 23 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   181 |GM_ubT  | 23 |   182 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   182 |GM_vbT  | 23 |   181 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   183 |TRAC01  | 23 |       |SMR     MR|mmol C/         |DIC concentration
   184 |UTRAC01 | 23 |   185 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of DIC
   185 |VTRAC01 | 23 |   184 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of DIC
   186 |WTRAC01 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of DIC
   187 |ForcTr01| 23 |       |SMR     MR|mmolC//s        |DIC forcing tendency
   188 |AB_gTr01| 23 |       |SMR     MR|mmolC//s        |DIC tendency from Adams-Bashforth
   189 |Tp_gTr01| 23 |       |SMR     MR|mmolC//s        |DIC total transport tendency (before gchem_forcing_sep)
   190 |ADVrTr01| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of DIC
   191 |ADVxTr01| 23 |   192 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of DIC
   192 |ADVyTr01| 23 |   191 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of DIC
   193 |DFrETr01| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DIC (Explicit part)
   194 |DFxETr01| 23 |   195 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of DIC
   195 |DFyETr01| 23 |   194 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of DIC
   196 |DFrITr01| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DIC (Implicit part)
   197 |KPPgTr01| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of DIC
   198 |TRAC02  | 23 |       |SMR     MR|mmol N/         |NO3 concentration
   199 |UTRAC02 | 23 |   200 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NO3
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |VTRAC02 | 23 |   199 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NO3
   201 |WTRAC02 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NO3
   202 |ForcTr02| 23 |       |SMR     MR|mmolN//s        |NO3 forcing tendency
   203 |AB_gTr02| 23 |       |SMR     MR|mmolN//s        |NO3 tendency from Adams-Bashforth
   204 |Tp_gTr02| 23 |       |SMR     MR|mmolN//s        |NO3 total transport tendency (before gchem_forcing_sep)
   205 |ADVrTr02| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NO3
   206 |ADVxTr02| 23 |   207 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NO3
   207 |ADVyTr02| 23 |   206 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NO3
   208 |DFrETr02| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO3 (Explicit part)
   209 |DFxETr02| 23 |   210 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NO3
   210 |DFyETr02| 23 |   209 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NO3
   211 |DFrITr02| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO3 (Implicit part)
   212 |KPPgTr02| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NO3
   213 |TRAC03  | 23 |       |SMR     MR|mmol N/         |NO2 concentration
   214 |UTRAC03 | 23 |   215 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NO2
   215 |VTRAC03 | 23 |   214 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NO2
   216 |WTRAC03 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NO2
   217 |ForcTr03| 23 |       |SMR     MR|mmolN//s        |NO2 forcing tendency
   218 |AB_gTr03| 23 |       |SMR     MR|mmolN//s        |NO2 tendency from Adams-Bashforth
   219 |Tp_gTr03| 23 |       |SMR     MR|mmolN//s        |NO2 total transport tendency (before gchem_forcing_sep)
   220 |ADVrTr03| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NO2
   221 |ADVxTr03| 23 |   222 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NO2
   222 |ADVyTr03| 23 |   221 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NO2
   223 |DFrETr03| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO2 (Explicit part)
   224 |DFxETr03| 23 |   225 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NO2
   225 |DFyETr03| 23 |   224 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NO2
   226 |DFrITr03| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO2 (Implicit part)
   227 |KPPgTr03| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NO2
   228 |TRAC04  | 23 |       |SMR     MR|mmol N/         |NH4 concentration
   229 |UTRAC04 | 23 |   230 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NH4
   230 |VTRAC04 | 23 |   229 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NH4
   231 |WTRAC04 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NH4
   232 |ForcTr04| 23 |       |SMR     MR|mmolN//s        |NH4 forcing tendency
   233 |AB_gTr04| 23 |       |SMR     MR|mmolN//s        |NH4 tendency from Adams-Bashforth
   234 |Tp_gTr04| 23 |       |SMR     MR|mmolN//s        |NH4 total transport tendency (before gchem_forcing_sep)
   235 |ADVrTr04| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NH4
   236 |ADVxTr04| 23 |   237 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NH4
   237 |ADVyTr04| 23 |   236 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NH4
   238 |DFrETr04| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NH4 (Explicit part)
   239 |DFxETr04| 23 |   240 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NH4
   240 |DFyETr04| 23 |   239 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NH4
   241 |DFrITr04| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NH4 (Implicit part)
   242 |KPPgTr04| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NH4
   243 |TRAC05  | 23 |       |SMR     MR|mmol P/         |PO4 concentration
   244 |UTRAC05 | 23 |   245 |UUr     MR|mmolP/.m/s      |Zonal Mass-Weighted Transp of PO4
   245 |VTRAC05 | 23 |   244 |VVr     MR|mmolP/.m/s      |Merid Mass-Weighted Transp of PO4
   246 |WTRAC05 | 23 |       |WM      MR|mmolP/.m/s      |Vert  Mass-Weighted Transp of PO4
   247 |ForcTr05| 23 |       |SMR     MR|mmolP//s        |PO4 forcing tendency
   248 |AB_gTr05| 23 |       |SMR     MR|mmolP//s        |PO4 tendency from Adams-Bashforth
   249 |Tp_gTr05| 23 |       |SMR     MR|mmolP//s        |PO4 total transport tendency (before gchem_forcing_sep)
   250 |ADVrTr05| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical   Advective Flux of PO4
   251 |ADVxTr05| 23 |   252 |UU      MR|mmolP/.m^3/s    |Zonal      Advective Flux of PO4
   252 |ADVyTr05| 23 |   251 |VV      MR|mmolP/.m^3/s    |Meridional Advective Flux of PO4
   253 |DFrETr05| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of PO4 (Explicit part)
   254 |DFxETr05| 23 |   255 |UU      MR|mmolP/.m^3/s    |Zonal      Diffusive Flux of PO4
   255 |DFyETr05| 23 |   254 |VV      MR|mmolP/.m^3/s    |Meridional Diffusive Flux of PO4
   256 |DFrITr05| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of PO4 (Implicit part)
   257 |KPPgTr05| 23 |       |WM      LR|mmolP/.m^3/s    |KPP non-local Flux of PO4
   258 |TRAC06  | 23 |       |SMR     MR|mmol Fe         |FeT concentration
   259 |UTRAC06 | 23 |   260 |UUr     MR|mmolFe.m/s      |Zonal Mass-Weighted Transp of FeT
   260 |VTRAC06 | 23 |   259 |VVr     MR|mmolFe.m/s      |Merid Mass-Weighted Transp of FeT
   261 |WTRAC06 | 23 |       |WM      MR|mmolFe.m/s      |Vert  Mass-Weighted Transp of FeT
   262 |ForcTr06| 23 |       |SMR     MR|mmolFe/s        |FeT forcing tendency
